Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
"hsa00250:Alanine, aspartate and glutamate metabolism",13,0.02087516,"ADSL, GLS2, GFPT1, CAD, GOT2, ASNS, ABAT, GLS, IL4I1, GLUD1, ALDH5A1, ASL, GLUL",1.994515159,0.998854434,0.031757945,0.02087516
hsa05340:Primary immunodeficiency,13,0.025764055,"CIITA, CD40, CD3D, UNG, ZAP70, CD4, PTPRC, LCK, BLNK, BTK, IKBKG, IL7R, JAK3",1.942027918,0.999770284,0.039010669,0.025764055
hsa04550:Signaling pathways regulating pluripotency of stem cells,35,0.036109282,"TCF7, PIK3CD, PIK3R3, PIK3R2, PIK3R1, FGF2, MYC, AKT2, AKT3, AKT1, MAPK1, JAK2, HRAS, JAK3, JAK1, MAPK3, SMAD2, MAP2K1, SMAD4, MAP2K2, SMAD3, PCGF2, STAT3, IGF1, MAPK14, MAPK12, MAPK13, MAPK11, PIK3CA, ID1, CTNNB1, GRB2, KRAS, RAF1, FGFR1",1.389401361,0.999992537,0.054418214,0.036109282
hsa01210:2-Oxocarboxylic acid metabolism,8,0.036671158,"CS, IDH3G, GOT2, IDH2, IDH3B, ACO1, ACO2, IDH3A",2.390188207,0.999993811,0.055006737,0.036671158
hsa00010:Glycolysis / Gluconeogenesis,19,0.038063306,"PDHA1, ADH1B, ENO1, PDHB, ENO2, ADH5, ALDH3A2, LDHA, PFKL, ALDH2, ALDH1B1, ALDH3B1, PGM2, DLAT, GAPDH, DLD, ALDH7A1, PCK2, ALDH9A1",1.609809594,0.999996109,0.0568294,0.038063306
hsa05032:Morphine addiction,24,0.040840618,"PDE3B, ADCY4, GNAI3, ADCY3, PRKCA, ARRB1, ARRB2, GNG12, GNG11, ADCY7, ADCY6, GNAI1, GNAI2, ADCY9, GNG2, GNG5, GNB2, GNB1, GNB4, GNAS, PDE4A, GNB5, PRKACA, PRKACB",1.497150855,0.999998462,0.060693696,0.040840618
hsa04142:Lysosome,32,0.050823345,"IDUA, HEXB, HEXA, CLTC, CLTB, CLTA, TCIRG1, CTSS, CTSK, AP1S1, ATP6V1H, IDS, CTSH, AP1S3, CTSD, ARSB, CTSC, AP1M1, ATP6V0A1, CTSB, CTSA, ATP6V0B, ATP6AP1, SORT1, AP1B1, MCOLN1, IGF2R, GLB1, TPP1, ATP6V0D1, ATP6V0C, LGMN",1.376168967,0.999999946,0.075181077,0.050823345
hsa04973:Carbohydrate digestion and absorption,14,0.057960936,"PIK3CD, PIK3R3, CACNA1D, PIK3R2, PIK3R1, ATP1A1, ATP1B1, PLCB3, PLCB4, PIK3CA, AKT2, AKT3, AKT1, PLCB2",1.690931019,0.999999995,0.085346149,0.057960936
hsa00770:Pantothenate and CoA biosynthesis,8,0.061571545,"ALDH3A2, PANK2, PANK3, ALDH2, ALDH1B1, PPCS, PANK1, PPCDC",2.162551235,0.999999999,0.090248703,0.061571545
hsa03450:Non-homologous end-joining,6,0.062557895,"XRCC6, RAD50, XRCC5, PRKDC, POLM, POLL",2.620013996,0.999999999,0.091277656,0.062557895
hsa03460:Fanconi anemia pathway,15,0.08062841,"TOP3B, BLM, TOP3A, RPA1, RPA2, BRCA1, BRIP1, RAD51C, RPA3, REV3L, POLI, POLK, ATRIP, POLH, ATR",1.576860275,1,0.117095547,0.08062841
hsa04612:Antigen processing and presentation,20,0.080981967,"CD74, HSPA8, CIITA, HSP90AA1, NFYA, NFYB, HSPA6, HSPA2, CTSS, CD4, CREB1, PSME3, CANX, HLA-DPB1, PSME1, PSME2, CALR, HLA-DRB1, CTSB, LGMN",1.455563331,1,0.117095547,0.080981967
hsa05321:Inflammatory bowel disease,17,0.095741629,"SMAD2, TGFB2, JUN, TGFB1, SMAD3, TGFB3, IFNGR1, STAT1, IFNGR2, STAT3, IL18, RORA, RELA, NFKB1, HLA-DPB1, TLR4, HLA-DRB1",1.484674598,1,0.137816426,0.095741629
